number;ao;institution;odh_name;odh_id;address_hint;container_count;placement_type;geometry_status
17;САО;"ГБУ ""Автомобильные дороги САО""";Дмитровское шоссе;4119461;Тимирязевская развязка (путепровод Руставели);1;особо опасные участки;no_odh_geometry_match
18;САО;"ГБУ ""Автомобильные дороги САО""";ул. Хачатуряна;3476410;;4;особо опасные участки;no_odh_geometry_match
19;САО;"ГБУ ""Автомобильные дороги САО""";ул. Линии Октябрьской Железной Дороги;3476410;Подъем на ул. Линии Окябрьской Железной Дороги с Валаамской улицы;1;особо опасные участки;no_odh_geometry_match
20;САО;"ГБУ ""Автомобильные дороги САО""";ул. Красноармейская;3476410;д. 32;1;особо опасные участки;no_odh_geometry_match
21;САО;"ГБУ ""Автомобильные дороги САО""";ул. Усиевича;3476410;д. 16;1;особо опасные участки;no_odh_geometry_match
22;САО;"ГБУ ""Автомобильные дороги САО""";Ул.Ак. Ильюшина, у л. Красноармейская;3476410;Ул.Ак. Ильюшина 1-2, ул.Красноармейская 19-31 (На пересечении уклон);1;особо опасные участки;no_odh_geometry_match
23;САО;"ГБУ ""Автомобильные дороги САО""";Ул.С.Варгуна, ул.Усиевича;3476410;Ул.С.Варгуна I, ул.Усиевича 23 (На пересечении уклон);1;особо опасные участки;no_odh_geometry_match
24;САО;"ГБУ ""Автомобильные дороги САО""";Дубнинская улица;10002256;"Дубнинская улица, д.85 напротив платформы
 ""Лианозово""";1;особо опасные участки;odh_geometry_proxy
25;САО;"ГБУ ""Автомобильные дороги САО""";Площ. у м.Водный Стадион;4136841;Кронштадский б-р 9 (Уклон, подъем);1;особо опасные участки;no_odh_geometry_match
26;САО;"ГБУ ""Автомобильные дороги САО""";улица Учинская;3476410;тротуар ( у школы ул. Софьи Ковалевской д. 18 А);1;особо опасные участки;no_odh_geometry_match
27;САО;"ГБУ ""Автомобильные дороги САО""";Проезд вдоль Дмитровского ш от Лобненской ул до Яхромской ул;4136841;тротуар Дмитровское ш. д. 131 кор. 2;1;особо опасные участки;no_odh_geometry_match
28;САО;"ГБУ ""Автомобильные дороги САО""";проектируемый проезд 6175;4136841;тротуар ( напротив Клязьминская ул. д. 8 к.2);1;особо опасные участки;no_odh_geometry_match
29;САО;"ГБУ ""Автомобильные дороги САО""";проектируемый проезд 6176;4136841;тротуар ( напртив Ангарская ул. д. 43);1;особо опасные участки;no_odh_geometry_match
30;САО;"ГБУ ""Автомобильные дороги САО""";ул. М. Федоренко;3476410;Универсам;1;особо опасные участки;no_odh_geometry_match
31;САО;"ГБУ ""Автомобильные дороги САО""";Бусиновская горка д. 1;10002175;Бусиновская горка д. 1 -ж/д переезд (Спуски, подъемы, движение пассаж .транс порта, образование наледи (изморось отТЭЦ-21));1;особо опасные участки;odh_geometry_proxy
32;САО;"ГБУ ""Автомобильные дороги САО""";ТПУ Моссельмаш;3476410;Платф. Моссельмаш (пос.);1;особо опасные участки;no_odh_geometry_match
33;САО;"ГБУ ""Жилищник района Западное Дегунино""";ул. Весенняя;3476410;Весенняя ул.;1;особо опасные участки;no_odh_geometry_match
34;САО;"ГБУ ""Автомобильные дороги САО""";ул. М. Федоренко;3476410;Универсам;1;особо опасные участки;no_odh_geometry_match
35;САО;"ГБУ ""Автомобильные дороги САО""";ул. Талдомская;3476410;Школа им. Л.М. Доватора;1;особо опасные участки;no_odh_geometry_match
36;САО;"ГБУ ""Автомобильные дороги САО""";Автобусный круг у платформы Ховрино;753913983;Ст. Ховрино (выс.);1;особо опасные участки;odh_geometry_proxy
37;САО;"ГБУ ""Автомобильные дороги САО""";Съезд моста Бусиново у поста ДПС;3476410;Зона съезда с моста в Бусиново у поста ДПС (Крутые спуски,подъемы);1;особо опасные участки;no_odh_geometry_match
38;САО;"ГБУ ""Автомобильные дороги САО""";Новомихалковский 4-й проезд;10002357;Пересечение 4 -й новомихалковского проезда и проезда Черепановых(спуск);1;особо опасные участки;odh_geometry_proxy
39;САО;"ГБУ ""Автомобильные дороги САО""";Проезд от улицы Правобережная до МКАД;656513337;ул.Правобережная 4-6 (Уклон,подъем);1;особо опасные участки;odh_geometry_proxy
40;САО;"ГБУ ""Автомобильные дороги САО""";ТПУ Речной вокзал Жилищник Левобережный;757159046;Фестивальная ул. 2Б;1;особо опасные участки;odh_geometry_proxy
41;САО;"ГБУ ""Автомобильные дороги САО""";Чапаевский пр.;4120413;Чапаевский пр. (Крутые спуски,подъемы);1;особо опасные участки;no_odh_geometry_match
42;САО;"ГБУ ""Автомобильные дороги САО""";ул. Линии Октябрьской Железной Дороги;3476410;Подъем на ул. Линии Окябрьской Железной Дороги с Валаамской улицы;1;особо опасные участки;no_odh_geometry_match
43;САО;"ГБУ ""Автомобильные дороги САО""";Клинская ул.;2275130;Клинская 18к1;1;особо опасные участки;no_odh_geometry_match
44;САО;"ГБУ ""Автомобильные дороги САО""";Клинская ул.;2275130;Клинская 4к1;1;особо опасные участки;no_odh_geometry_match
45;САО;"ГБУ ""Автомобильные дороги САО""";Ляпидевского ул.;2890359;Ляпидевского ул. д. 22;1;особо опасные участки;no_odh_geometry_match
46;САО;"ГБУ ""Автомобильные дороги САО""";Красноармейская улица;10002294;у л. Красноармейская  д. 13;1;особо значимые участки;odh_geometry_proxy
47;САО;"ГБУ ""Автомобильные дороги САО""";Планетная улица;10002411;Планетная улица, 3;1;особо значимые участки;odh_geometry_proxy
48;САО;"ГБУ ""Автомобильные дороги САО""";Планетная улица;10002411;Планетная улица, 36;1;особо значимые участки;odh_geometry_proxy
49;САО;"ГБУ ""Автомобильные дороги САО""";"Площадка и лестницы у станции метро ""Динамо""";4136841;ТПУ Динамо;1;особо значимые участки;no_odh_geometry_match
50;САО;"ГБУ ""Автомобильные дороги САО""";Бескудниковский бульвар;10002198;Бескудниковский б-р, д.59;1;особо значимые участки;odh_geometry_proxy
51;САО;"ГБУ ""Автомобильные дороги САО""";улица 800-летия Москвы;10002353;Ул. 800-летия Москвы, 8;1;особо значимые участки;odh_geometry_proxy
52;САО;"ГБУ ""Автомобильные дороги САО""";"ТПУ ""Войковская """;3476410;Ул. Зои и Александра Космодемьянских, 4;1;особо значимые участки;no_odh_geometry_match
53;САО;"ГБУ ""Автомобильные дороги САО""";Кронштадсткий бульвар;2275130;Кронштадсткий б-р, д.33;1;особо значимые участки;no_odh_geometry_match
54;САО;"ГБУ ""Автомобильные дороги САО""";Ангарская улица;10002178;ул. Ангарская, д. 18;1;особо значимые участки;odh_geometry_proxy
55;САО;"ГБУ ""Автомобильные дороги САО""";Фестивальная улица;10002533;ул. Фестивальная;1;особо значимые участки;odh_geometry_proxy
56;САО;"ГБУ ""Автомобильные дороги САО""";Флотская улица;10002594;ул. Флотская, д.27;1;особо значимые участки;odh_geometry_proxy
57;САО;"ГБУ ""Автомобильные дороги САО""";Смольная улица;10002587;Смольная ул.75;1;особо значимые участки;odh_geometry_proxy
58;САО;"ГБУ ""Автомобильные дороги САО""";Флотская улица;10002615;Флотская ул., 36;1;особо значимые участки;odh_geometry_proxy
59;САО;"ГБУ ""Автомобильные дороги САО""";Коровинское шоссе;10002290;Коровинское ш., д. 14;1;особо значимые участки;odh_geometry_proxy
60;САО;"ГБУ ""Автомобильные дороги САО""";Коровинское шоссе;10002290;Коровинское ш., д. 20;1;особо значимые участки;odh_geometry_proxy
61;САО;"ГБУ ""Автомобильные дороги САО""";Коровинское шоссе;10002290;Коровинское ш., д. 22;1;особо значимые участки;odh_geometry_proxy
62;САО;"ГБУ ""Автомобильные дороги САО""";Ангарская улица;10002178;ул. Ангарская, д.24;1;особо значимые участки;odh_geometry_proxy
63;САО;"ГБУ ""Автомобильные дороги САО""";Улица Софьи Ковалевской;10002280;ул. С.Ковалевской, д.18;1;особо значимые участки;odh_geometry_proxy
64;САО;"ГБУ ""Автомобильные дороги САО""";Ижорская улица;308818896;Ижорская ул., 6;1;особо значимые участки;odh_geometry_proxy
65;САО;"ГБУ ""Автомобильные дороги САО""";Ангарская улица;10002178;ул. Ангарская, д. 20А;1;особо значимые участки;odh_geometry_proxy
66;САО;"ГБУ ""Автомобильные дороги САО""";Улица Зои и Александра Космодемьянских;123454100;Ул. Зои и Александра Космодемьянских, 35;1;особо значимые участки;odh_geometry_proxy
67;САО;"ГБУ ""Автомобильные дороги САО""";Смольная улица;10002587;Смольная ул., 61;1;особо значимые участки;odh_geometry_proxy
68;САО;"ГБУ ""Автомобильные дороги САО""";Смольная улица;10002587;Смольная ул.25;1;особо значимые участки;odh_geometry_proxy
69;САО;"ГБУ ""Автомобильные дороги САО""";Фестивальная улица;10002614;Фестивальная ул. 7;1;особо значимые участки;odh_geometry_proxy
70;САО;"ГБУ ""Автомобильные дороги САО""";Фестивальная улица;10002614;Фестивальная улица, дом 17, корпус 1А;1;особо значимые участки;odh_geometry_proxy
71;САО;"ГБУ ""Автомобильные дороги САО""";"ТПУ ""Речной вокзал АВД САО""";3476410;Фестивальная улица, дом 2Б;1;особо значимые участки;no_odh_geometry_match
72;САО;"ГБУ ""Автомобильные дороги САО""";Тимирязевская улица;10002605;Тимирязевская ул., 30;1;особо значимые участки;odh_geometry_proxy
73;САО;"ГБУ ""Автомобильные дороги САО""";Тимирязевская улица;10002605;Тимирязевская улица, 58;1;особо значимые участки;odh_geometry_proxy
74;САО;"ГБУ ""Автомобильные дороги САО""";Тимирязевская улица;10002605;Тимирязевская, 2;1;особо значимые участки;odh_geometry_proxy
75;САО;"ГБУ ""Автомобильные дороги САО""";Тимирязевская улица;10002605;ул.Тимирязевская, д.8, к.1;1;особо значимые участки;odh_geometry_proxy
76;САО;"ГБУ ""Автомобильные дороги САО""";Флотская улица;10002615;ул. Флотская, д.9;1;особо значимые участки;odh_geometry_proxy
77;САО;"ГБУ ""Автомобильные дороги САО""";Фестивальная улица;10002614;Фестивальная ул., 14;1;особо значимые участки;odh_geometry_proxy
78;САО;"ГБУ ""Автомобильные дороги САО""";Фестивальная улица;10002614;Фестивальная ул., 65;1;особо значимые участки;odh_geometry_proxy
79;САО;"ГБУ ""Автомобильные дороги САО""";Хорошевское шоссе;10002622;ТПУ Полежаевская;2;особо значимые участки;odh_geometry_proxy
80;САО;"ГБУ ""Автомобильные дороги САО""";Улица Куусинена;10002301;ул. Куусинеа, д.6;1;особо значимые участки;odh_geometry_proxy
81;САО;"ГБУ ""Автомобильные дороги САО""";Улица Куусинена;10002301;Ул. Куусинена, 13;1;особо значимые участки;odh_geometry_proxy
82;САО;"ГБУ ""Автомобильные дороги САО""";Улица Куусинена;10002301;Ул. Куусинена, 9;1;особо значимые участки;odh_geometry_proxy
83;САО;"ГБУ ""Автомобильные дороги САО""";Улица Куусинена;10002301;ул. Куусинена, д. 19, к.2;1;особо значимые участки;odh_geometry_proxy
84;САО;"ГБУ ""Автомобильные дороги САО""";Улица Куусинена;10002301;Ул. Куусинена, д.2;1;особо значимые участки;odh_geometry_proxy
85;САО;"ГБУ ""Автомобильные дороги САО""";"ТПУ ""Беговая""";3476410;Хорошевское шоссе, 14;2;особо значимые участки;no_odh_geometry_match
86;САО;"ГБУ ""Автомобильные дороги САО""";Улица Усиевича;10002609;ул. Усиевича, д.16;1;особо значимые участки;odh_geometry_proxy
87;САО;"ГБУ ""Автомобильные дороги САО""";Улица Вучетича;308821441;Улица Вучетича д.19;1;особо значимые участки;odh_geometry_proxy
88;САО;"ГБУ ""Автомобильные дороги САО""";Красностуденческий проезд;10002297;Красностуденческий проезд д.7;1;особо значимые участки;odh_geometry_proxy
89;САО;"ГБУ ""Автомобильные дороги САО""";Костякова улица;2275130;Костякова улица д.2;1;особо значимые участки;no_odh_geometry_match
90;САО;"ГБУ ""Автомобильные дороги САО""";"ТПУ ""Речной вокзал"" Фестивальная улица";3476410;Фестивальная улица, д.8;1;особо значимые участки;no_odh_geometry_match
91;САО;"ГБУ ""Автомобильные дороги САО""";Прибрежный проезд;10002548;Прибрежный проезд, д.7 (остановка Интернат)_;1;особо значимые участки;odh_geometry_proxy
92;САО;"ГБУ ""Автомобильные дороги САО""";Петровско-Разумовская аллея;10002385;Петровско-Разумовская аллея;1;особо значимые участки;odh_geometry_proxy
93;САО;"ГБУ ""Автомобильные дороги САО""";Петровско-Разумовская аллея;10002385;Петровско-Разумовская аллея,8;1;особо значимые участки;odh_geometry_proxy
94;САО;"ГБУ ""Автомобильные дороги САО""";Театральная аллея;10002602;Театральная аллея;1;особо значимые участки;odh_geometry_proxy
95;САО;"ГБУ ""Автомобильные дороги САО""";Фестивальная улица;10002614;ул. Фестивальная;1;особо значимые участки;odh_geometry_proxy
96;САО;"ГБУ ""Автомобильные дороги САО""";Флотская улица;3476410;ул. Флотская, д.27;1;особо значимые участки;no_odh_geometry_match
97;САО;"ГБУ ""Автомобильные дороги САО""";Флотская улица;3476410;ул. Флотская, д.60;1;особо значимые участки;no_odh_geometry_match
98;САО;"ГБУ ""Автомобильные дороги САО""";Красностуденческий проезд;2275130;Красностуденческий пр.;1;особо значимые участки;no_odh_geometry_match
99;САО;"ГБУ ""Автомобильные дороги САО""";Локомотивный проезд;10002321;ТПУ платформа Окружная;1;особо значимые участки;odh_geometry_proxy
100;САО;"ГБУ ""Автомобильные дороги САО""";ул. Вучетича;3476410;50-я гор. б-ца;1;особо значимые участки;no_odh_geometry_match
101;САО;"ГБУ ""Автомобильные дороги САО""";ул. Линии Октябрьской Железной Дороги;3476410;Автокомбинат № 3;1;особо значимые участки;no_odh_geometry_match
102;САО;"ГБУ ""Автомобильные дороги САО""";ул. Линии Октябрьской Железной Дороги;3476410;ЛОЖД, 2, стр2;1;особо значимые участки;no_odh_geometry_match
103;САО;"ГБУ ""Автомобильные дороги САО""";ул. Линии Октябрьской Железной Дороги;3476410;Платф. Петровско-Разумовское (пос.);1;особо значимые участки;no_odh_geometry_match
104;САО;"ГБУ ""Автомобильные дороги САО""";ул. Прянишникова;3476410;Прянишникова улица;1;особо значимые участки;no_odh_geometry_match
105;САО;"ГБУ ""Автомобильные дороги САО""";ул. Прянишникова;3476410;Университет Печати;1;особо значимые участки;no_odh_geometry_match
106;САО;"ГБУ ""Автомобильные дороги САО""";ул.Вучетича;3476410;Ул. Вучетича;1;особо значимые участки;no_odh_geometry_match
107;САО;"ГБУ ""Автомобильные дороги САО""";ул.Костякова;3476410;Ул. Костякова - Платф. Дмитровская;1;особо значимые участки;no_odh_geometry_match
108;САО;"ГБУ ""Автомобильные дороги САО""";Петровско-Разумовская аллея;10002385;Петровско-Разумовская аллея,8;1;особо значимые участки;odh_geometry_proxy
109;САО;"ГБУ ""Автомобильные дороги САО""";Петровско-Разумовская аллея;10002385;Планетная ул.;1;особо значимые участки;odh_geometry_proxy
110;САО;"ГБУ ""Автомобильные дороги САО""";Петровско-Разумовская аллея;10002385;П-Разумовская аллея;1;особо значимые участки;odh_geometry_proxy
111;САО;"ГБУ ""Автомобильные дороги САО""";Авиационный переулок;10002170;Авиационный переулок, 4;1;особо значимые участки;odh_geometry_proxy
112;САО;"ГБУ ""Автомобильные дороги САО""";Кочновский проезд;10002292;Планетная улица, 36;1;особо значимые участки;odh_geometry_proxy
113;САО;"ГБУ ""Жилищник района Аэропорт""";"Ленинградский пр-т, д.76А (тыльная сторона ТЦ Метромаркет""";2890359;Ленинградский пр-т, д.76;1;особо значимые участки;no_odh_geometry_match
114;САО;"ГБУ ""Автомобильные дороги САО""";Планетная улица;10002411;Планетная улица, 3;1;особо значимые участки;odh_geometry_proxy
115;САО;"ГБУ ""Автомобильные дороги САО""";Старый Зыковский проезд;10002266;Красноармейская, д.18;1;особо значимые участки;odh_geometry_proxy
116;САО;"ГБУ ""Автомобильные дороги САО""";"ТПУ ""Аэропорт"" (район Аэропорт)";3476410;Ленинградский пр-т., д. 62, стр.1;1;особо значимые участки;no_odh_geometry_match
117;САО;"ГБУ ""Автомобильные дороги САО""";улица Академика Ильюшина;10002272;Ул.Ак. Ильюшина,;1;особо значимые участки;odh_geometry_proxy
118;САО;"ГБУ ""Автомобильные дороги САО""";улица Усиевича;10002609;Балтийский 2-й переулок, 3-А, строение 1;1;особо значимые участки;odh_geometry_proxy
119;САО;"ГБУ ""Автомобильные дороги САО""";улица Усиевича;10002609;Ленинградский рынок - К/т Баку;1;особо значимые участки;odh_geometry_proxy
120;САО;"ГБУ ""Автомобильные дороги САО""";улица Усиевича;10002609;Ул. Усиевича;1;особо значимые участки;odh_geometry_proxy
121;САО;"ГБУ ""Автомобильные дороги САО""";улица Усиевича;10002609;Усиевича, 22 к1;1;особо значимые участки;odh_geometry_proxy
122;САО;"ГБУ ""Автомобильные дороги САО""";Часовая улица;10002634;Университет Путей сообщения;1;особо значимые участки;odh_geometry_proxy
123;САО;"ГБУ ""Автомобильные дороги САО""";Часовая улица;10002634;Часовая улица, 22/2;1;особо значимые участки;odh_geometry_proxy
124;САО;"ГБУ ""Автомобильные дороги САО""";1-й Боткинский проезд;10002203;1-й Боткинский пр.;1;особо значимые участки;odh_geometry_proxy
125;САО;"ГБУ ""Автомобильные дороги САО""";1-я улица Ямского поля;10002644;1-я ул. Ямского Поля;1;особо значимые участки;odh_geometry_proxy
126;САО;"ГБУ ""Автомобильные дороги САО""";2-й Боткинский проезд;431801412;2-й Боткинский пр. (институт Герцена);1;особо значимые участки;no_odh_geometry_match
127;САО;"ГБУ ""Автомобильные дороги САО""";2-й Боткинский проезд;753911979;2-й Боткинский пр-д, д. 7 к 2;1;особо значимые участки;odh_geometry_proxy
128;САО;"ГБУ ""Автомобильные дороги САО""";2-й Боткинский проезд/Поликарпова улица;11913839;Б-ца им. Боткина у Храма;1;особо значимые участки;no_odh_geometry_match
129;САО;"ГБУ ""Автомобильные дороги САО""";1-я ул. Ямского Поля;308821441;1-я ул. Ямского Поля/3-я ул. Ямского Поля;1;особо значимые участки;odh_geometry_proxy
130;САО;"ГБУ ""Автомобильные дороги САО""";5-я ул. Ямского Поля;753913983;5-я ул. Ямского Поля 26/29;1;особо значимые участки;odh_geometry_proxy
131;САО;"ГБУ ""Автомобильные дороги САО""";5-я ул. Ямского Поля/ул. Нижняя Масловка  Правды;753913983;Издательство Пресса;1;особо значимые участки;odh_geometry_proxy
132;САО;"ГБУ ""Автомобильные дороги САО""";1-й Боткинский проезд;10002203;1-й Боткинский проезд д.31а;1;особо значимые участки;odh_geometry_proxy
133;САО;"ГБУ ""Жилищник района Беговой""";Площадь перед ипподромом;10002444;Беговая 22 сквер у ЦМИ;1;особо значимые участки;odh_geometry_proxy
134;САО;"ГБУ ""Автомобильные дороги САО""";Правды улица;4136841;ул. Правды, д. 24;1;особо значимые участки;no_odh_geometry_match
135;САО;"ГБУ ""Автомобильные дороги САО""";Расковой улица;10002568;М-н Свет;1;особо значимые участки;odh_geometry_proxy
136;САО;"ГБУ ""Автомобильные дороги САО""";Территория больницы имени С.П. Боткина;3476410;2-й Боткинский пр. д. 5;2;особо значимые участки;no_odh_geometry_match
137;САО;"ГБУ ""Автомобильные дороги САО""";Расковой улица;10002568;Расковой улица, д. 24 А;1;особо значимые участки;odh_geometry_proxy
138;САО;"ГБУ ""Автомобильные дороги САО""";2-й Боткинский проезд;10002486;2-й Боткинский проезд, д. 1/8;1;особо значимые участки;odh_geometry_proxy
139;САО;"ГБУ ""Автомобильные дороги САО""";ул.Расковой;3476410;Расковой ул., д. 33;1;особо значимые участки;no_odh_geometry_match
140;САО;"ГБУ ""Жилищник района Бескудниковский""";Дмитровское шоссе, д. 80;4119461;Дмитровское шоссе, д. 80;1;особо значимые участки;no_odh_geometry_match
141;САО;"ГБУ ""Автомобильные дороги САО""";Бескудниковский пер.;10002175;Бескудниковский пер. (к/ст, выс.);1;особо значимые участки;odh_geometry_proxy
142;САО;"ГБУ ""Автомобильные дороги САО""";Бескудниковский пер.;10002175;Бескудниковский пер., 5А;1;особо значимые участки;odh_geometry_proxy
143;САО;"ГБУ ""Автомобильные дороги САО""";Коровинский проезд;10002289;Бескудниковский б-р, д.59;1;особо значимые участки;odh_geometry_proxy
144;САО;"ГБУ ""Автомобильные дороги САО""";Площадь Туманяна;4136841;Дмитровское ш.,вл.80;1;особо значимые участки;no_odh_geometry_match
145;САО;"ГБУ ""Автомобильные дороги САО""";Проезд от Бескудниковского бульвара до Дубнинской улицы у торгового центра;4136841;АТС;1;особо значимые участки;no_odh_geometry_match
146;САО;"ГБУ ""Автомобильные дороги САО""";Проезд от Бескудниковского бульвара до Дубнинской улицы у школы №183;10002485;Проезд от Бескудниковского бульвара до Дубнинской улицы у школы №183;1;особо значимые участки;odh_geometry_proxy
147;САО;"ГБУ ""Автомобильные дороги САО""";Проезд от Дмитровского шоссе до Бескудниковского бульвара (мимо шк.849);4136841;Проезд от Дмитровского шоссе до Бескудниковского бульвара (мимо шк.849);1;особо значимые участки;no_odh_geometry_match
148;САО;"ГБУ ""Автомобильные дороги САО""";Проезд от Дубнинской улицы до института ВИСТИ;10002454;Проезд от Дубнинской улицы до института ВИСТИ;1;особо значимые участки;odh_geometry_proxy
149;САО;"ГБУ ""Автомобильные дороги САО""";Рогачевский переулок;4136841;Рогачевский пер., д.5;1;особо значимые участки;no_odh_geometry_match
150;САО;"ГБУ ""Автомобильные дороги САО""";1-й Войковский проезд;10002221;«Платф. Ленинградская»;1;особо значимые участки;odh_geometry_proxy
151;САО;"ГБУ ""Автомобильные дороги САО""";1-й Новоподмосковсный пер.;550571270;1-й Новоподмосковный пер.;1;особо значимые участки;no_odh_geometry_match
152;САО;"ГБУ ""Автомобильные дороги САО""";1-я Радиаторская ул.;10002218;1-я Радиаторская, д.5;1;особо значимые участки;odh_geometry_proxy
153;САО;"ГБУ ""Автомобильные дороги САО""";2-й Новоподмосковный пер.;10002243;2-й Новоподмосковный пер.;1;особо значимые участки;odh_geometry_proxy
154;САО;"ГБУ ""Автомобильные дороги САО""";2-й Новоподмосковный, д.5;10002496;2-й Новоподмосковный, д.5;1;особо значимые участки;odh_geometry_proxy
155;САО;"ГБУ ""Автомобильные дороги САО""";3-й Новоподмосковный пер.;10002353;3-й Новоподмосковный пер.;1;особо значимые участки;odh_geometry_proxy
156;САО;"ГБУ ""Автомобильные дороги САО""";5-й Войковский пр-д;753913983;5-й Войковский пр-д;1;особо значимые участки;odh_geometry_proxy
157;САО;"ГБУ ""Автомобильные дороги САО""";5-й Войковский проезд;10002225;«5-й Войковский пр.»;1;особо значимые участки;odh_geometry_proxy
158;САО;"ГБУ ""Автомобильные дороги САО""";Староперровский проезд;3476410;Метро Войковская;1;особо значимые участки;no_odh_geometry_match
159;САО;"ГБУ ""Автомобильные дороги САО""";Староперровский проезд;3476410;Онкологический диспансер;1;особо значимые участки;no_odh_geometry_match
160;САО;"ГБУ ""Автомобильные дороги САО""";"ТПУ ""Войковская""";3476410;«Метро ««Войковская» (к/ст.)»;1;особо значимые участки;no_odh_geometry_match
161;САО;"ГБУ ""Автомобильные дороги САО""";"ТПУ ""Войковская""";3476410;"ТПУ ""Войковская""";1;особо значимые участки;no_odh_geometry_match
162;САО;"ГБУ ""Автомобильные дороги САО""";ул. Адмирала Макарова;3476410;Метро Водный Стадион;1;особо значимые участки;no_odh_geometry_match
163;САО;"ГБУ ""Автомобильные дороги САО""";ул. Адмирала Макарова;3476410;ул. Адмирала Макарова, д.39;1;особо значимые участки;no_odh_geometry_match
164;САО;"ГБУ ""Автомобильные дороги САО""";ул. Клары Цеткин;3476410;Ф-ка игрушек;1;особо значимые участки;no_odh_geometry_match
165;САО;"ГБУ ""Автомобильные дороги САО""";Ул. Космонавта Волкова;3476410;ул. Космонавта Волкова, д. 10, стр. 1.;1;особо значимые участки;no_odh_geometry_match
166;САО;"ГБУ ""Автомобильные дороги САО""";Ул. Космонавта Волкова;3476410;ул. Космонавта Волкова, д.17;1;особо значимые участки;no_odh_geometry_match
167;САО;"ГБУ ""Автомобильные дороги САО""";Дубнинская улица;10002256;ул.Дубнинская дом 30;1;особо значимые участки;odh_geometry_proxy
168;САО;"ГБУ ""Автомобильные дороги САО""";Керамический проезд;753906080;Отдел соц. обеспечения;1;особо значимые участки;odh_geometry_proxy
169;САО;"ГБУ ""Автомобильные дороги САО""";Керамический проезд;753906080;Ст. Бескудниково (пос.);1;особо значимые участки;odh_geometry_proxy
170;САО;"ГБУ ""Автомобильные дороги САО""";Керамический проезд;753906080;ТПУ платформа Бескудниково;1;особо значимые участки;odh_geometry_proxy
171;САО;"ГБУ ""Автомобильные дороги САО""";Керамический проезд;753906080;Керамический проезд дом 59;1;особо значимые участки;odh_geometry_proxy
172;САО;"ГБУ ""Автомобильные дороги САО""";Керамический проезд;753906080;Керамический проезд дом 71 кор.1;1;особо значимые участки;odh_geometry_proxy
173;САО;"ГБУ ""Автомобильные дороги САО""";Керамический проезд;753906080;Керамический проезд дом  53кор 1;1;особо значимые участки;odh_geometry_proxy
